mc,tw,t,T,μSD,σSD
161,159,2,2.00000000e+00,1.52923666e+00,2.38308542e-01
169,159,10,2.00000000e+00,1.03687513e+00,1.25880832e-01
212,212,0,2.00000000e+00,8.03539123e-01,6.57308474e-02
214,212,2,2.00000000e+00,9.32240486e-01,7.56473803e-02
222,212,10,2.00000000e+00,1.17119536e+00,1.66931879e-01
281,281,0,2.00000000e+00,1.26084410e+00,1.67250234e-01
283,281,2,2.00000000e+00,1.01004078e+00,7.97640930e-02
291,281,10,2.00000000e+00,1.31826808e+00,2.13174814e-01
372,372,0,2.00000000e+00,8.07902433e-01,1.14346898e-01
374,372,2,2.00000000e+00,9.11385125e-01,1.21333450e-01
382,372,10,2.00000000e+00,7.48597489e-01,6.00881988e-02
494,494,0,2.00000000e+00,1.00867606e+00,1.52447237e-01
496,494,2,2.00000000e+00,9.39266639e-01,1.21349799e-01
504,494,10,2.00000000e+00,1.20428006e+00,1.87927571e-01
655,655,0,2.00000000e+00,1.07398272e+00,1.61445758e-01
657,655,2,2.00000000e+00,1.33307522e+00,2.11671464e-01
665,655,10,2.00000000e+00,7.37847701e-01,1.14393993e-01
868,868,0,2.00000000e+00,9.65581951e-01,1.23079954e-01
870,868,2,2.00000000e+00,1.05443071e+00,1.64207400e-01
878,868,10,2.00000000e+00,1.12025792e+00,1.87846690e-01
1151,1151,0,2.00000000e+00,9.19186879e-01,7.32739716e-02
1153,1151,2,2.00000000e+00,9.84979982e-01,1.27430470e-01
1161,1151,10,2.00000000e+00,1.01767018e+00,1.26590278e-01
1526,1526,0,2.00000000e+00,8.46652627e-01,7.21585275e-02
1528,1526,2,2.00000000e+00,1.00021638e+00,1.23960985e-01
1536,1526,10,2.00000000e+00,9.43217995e-01,7.54856901e-02
2023,2023,0,2.00000000e+00,9.01366480e-01,1.20976037e-01
2025,2023,2,2.00000000e+00,8.40768499e-01,6.97311710e-02
2033,2023,10,2.00000000e+00,9.44704122e-01,1.24773066e-01
2682,2682,0,2.00000000e+00,1.32237773e+00,1.62337577e-01
2684,2682,2,2.00000000e+00,7.16276839e-01,5.73881846e-02
2692,2682,10,2.00000000e+00,1.07956857e+00,1.90432064e-01
3556,3556,0,2.00000000e+00,1.27963477e+00,1.97515802e-01
3558,3556,2,2.00000000e+00,8.98374249e-01,1.23453147e-01
3566,3556,10,2.00000000e+00,7.04957876e-01,5.69983751e-02
4714,4714,0,2.00000000e+00,8.67387659e-01,1.61039025e-01
4716,4714,2,2.00000000e+00,9.42870717e-01,1.24452749e-01
4724,4714,10,2.00000000e+00,1.46481113e+00,2.20997025e-01
6250,6250,0,2.00000000e+00,1.00451944e+00,1.27467939e-01
6252,6250,2,2.00000000e+00,8.83766180e-01,7.07670341e-02
6260,6250,10,2.00000000e+00,1.56175672e+00,2.59467374e-01
8286,8286,0,2.00000000e+00,7.06877496e-01,5.88147912e-02
8288,8286,2,2.00000000e+00,9.20473398e-01,7.47430626e-02
8296,8286,10,2.00000000e+00,1.16404322e+00,1.65223876e-01
10985,10985,0,2.00000000e+00,8.74016072e-01,7.11739507e-02
10987,10985,2,2.00000000e+00,8.04396985e-01,6.59787159e-02
10995,10985,10,2.00000000e+00,7.90302099e-01,5.87000678e-02
14563,14563,0,2.00000000e+00,1.08575822e+00,1.58203692e-01
14565,14563,2,2.00000000e+00,8.60354321e-01,6.85163016e-02
14573,14563,10,2.00000000e+00,7.34349999e-01,6.81074737e-02
19306,19306,0,2.00000000e+00,9.99387959e-01,1.31562591e-01
19308,19306,2,2.00000000e+00,1.27270546e+00,1.98464503e-01
19316,19306,10,2.00000000e+00,8.66090185e-01,7.21033723e-02
25595,25595,0,2.00000000e+00,5.61412083e-01,4.52847996e-02
25597,25595,2,2.00000000e+00,7.64700323e-01,6.22434038e-02
25605,25595,10,2.00000000e+00,8.81149035e-01,7.44564934e-02
33932,33932,0,2.00000000e+00,8.02165655e-01,6.33914727e-02
33934,33932,2,2.00000000e+00,1.04411460e+00,1.64356281e-01
33942,33932,10,2.00000000e+00,7.24345614e-01,6.72116872e-02
44984,44984,0,2.00000000e+00,7.28721960e-01,6.59194575e-02
44986,44984,2,2.00000000e+00,1.00285994e+00,1.22390558e-01
44994,44984,10,2.00000000e+00,9.97019589e-01,1.24280608e-01
59636,59636,0,2.00000000e+00,9.99345425e-01,1.26744723e-01
59638,59636,2,2.00000000e+00,9.19813905e-01,1.59775621e-01
59646,59636,10,2.00000000e+00,9.72987466e-01,1.56554840e-01
79060,79060,0,2.00000000e+00,7.00685833e-01,5.74629169e-02
79062,79060,2,2.00000000e+00,1.28547988e+00,1.98411713e-01
79070,79060,10,2.00000000e+00,1.68564385e+00,2.32939816e-01
104811,104811,0,2.00000000e+00,9.52786995e-01,1.52868368e-01
104813,104811,2,2.00000000e+00,7.69273954e-01,6.71169864e-02
104821,104811,10,2.00000000e+00,5.38494493e-01,4.34924936e-02
138949,138949,0,2.00000000e+00,8.28746633e-01,1.20955027e-01
138951,138949,2,2.00000000e+00,1.06970375e+00,1.66380194e-01
138959,138949,10,2.00000000e+00,6.91518195e-01,5.61155722e-02
184206,184206,0,2.00000000e+00,8.61512622e-01,1.20699741e-01
184208,184206,2,2.00000000e+00,8.55707030e-01,1.18124202e-01
184216,184206,10,2.00000000e+00,9.47156179e-01,1.23006499e-01
244205,244205,0,2.00000000e+00,1.14103785e+00,1.23720617e-01
244207,244205,2,2.00000000e+00,1.02734125e+00,1.22812853e-01
244215,244205,10,2.00000000e+00,1.08064179e+00,1.88376814e-01
323745,323745,0,2.00000000e+00,6.69573449e-01,5.57746250e-02
323747,323745,2,2.00000000e+00,1.29941130e+00,2.00920737e-01
323755,323745,10,2.00000000e+00,8.84283833e-01,1.51228258e-01
429193,429193,0,2.00000000e+00,6.87689596e-01,6.01054758e-02
429195,429193,2,2.00000000e+00,8.17941401e-01,6.81050556e-02
429203,429193,10,2.00000000e+00,8.43961124e-01,7.30604695e-02
568986,568986,0,2.00000000e+00,1.00241974e+00,1.56678136e-01
568988,568986,2,2.00000000e+00,1.35153326e+00,2.18787537e-01
568996,568986,10,2.00000000e+00,1.19924490e+00,1.63065383e-01
754312,754312,0,2.00000000e+00,1.17293005e+00,1.87560426e-01
754314,754312,2,2.00000000e+00,9.42418113e-01,1.56196558e-01
754322,754312,10,2.00000000e+00,1.01998674e+00,1.58890868e-01
1000000,1000000,0,2.00000000e+00,7.57566599e-01,6.23677416e-02
1000002,1000000,2,2.00000000e+00,9.42811088e-01,1.24545421e-01
1000010,1000000,10,2.00000000e+00,1.10376016e+00,1.28162325e-01
