mc,tw,t,T,E,C
11,1,10,1.30000000e+00,-9.99023438e-01,9.99755859e-01
258,1,257,1.30000000e+00,-1.00000000e+00,1.00000000e+00
506,1,505,1.30000000e+00,-9.99023438e-01,9.99755859e-01
753,1,752,1.30000000e+00,-1.00000000e+00,1.00000000e+00
1001,1,1000,1.30000000e+00,-1.00000000e+00,1.00000000e+00
3,3,0,1.30000000e+00,-1.00000000e+00,1
13,3,10,1.30000000e+00,-9.99023438e-01,9.99755859e-01
260,3,257,1.30000000e+00,-9.99023438e-01,9.99755859e-01
508,3,505,1.30000000e+00,-1.00000000e+00,1.00000000e+00
755,3,752,1.30000000e+00,-1.00000000e+00,1.00000000e+00
1003,3,1000,1.30000000e+00,-1.00000000e+00,1.00000000e+00
10,10,0,1.30000000e+00,-1.00000000e+00,1
20,10,10,1.30000000e+00,-1.00000000e+00,1.00000000e+00
267,10,257,1.30000000e+00,-1.00000000e+00,1.00000000e+00
515,10,505,1.30000000e+00,-1.00000000e+00,1.00000000e+00
762,10,752,1.30000000e+00,-1.00000000e+00,1.00000000e+00
1010,10,1000,1.30000000e+00,-9.99023438e-01,9.99755859e-01
31,31,0,1.30000000e+00,-9.99023438e-01,1
41,31,10,1.30000000e+00,-1.00000000e+00,9.99755859e-01
288,31,257,1.30000000e+00,-9.99023438e-01,9.99511719e-01
536,31,505,1.30000000e+00,-1.00000000e+00,9.99755859e-01
783,31,752,1.30000000e+00,-1.00000000e+00,9.99755859e-01
1031,31,1000,1.30000000e+00,-1.00000000e+00,9.99755859e-01
100,100,0,1.30000000e+00,-1.00000000e+00,1
110,100,10,1.30000000e+00,-1.00000000e+00,1.00000000e+00
357,100,257,1.30000000e+00,-1.00000000e+00,1.00000000e+00
605,100,505,1.30000000e+00,-9.99023438e-01,9.99755859e-01
852,100,752,1.30000000e+00,-1.00000000e+00,1.00000000e+00
1100,100,1000,1.30000000e+00,-9.99023438e-01,9.99755859e-01
1,1,0,1.40000000e+00,-9.83444940e-01,1
11,1,10,1.40000000e+00,-9.82654390e-01,9.99255952e-01
258,1,257,1.40000000e+00,-9.83816964e-01,9.99616350e-01
506,1,505,1.40000000e+00,-9.83816964e-01,9.99616350e-01
753,1,752,1.40000000e+00,-9.83289931e-01,9.99418713e-01
1001,1,1000,1.40000000e+00,-9.83847966e-01,9.99627976e-01
3,3,0,1.40000000e+00,-9.83568948e-01,1
13,3,10,1.40000000e+00,-9.82700893e-01,9.99314081e-01
260,3,257,1.40000000e+00,-9.82003348e-01,9.99186198e-01
508,3,505,1.40000000e+00,-9.83305432e-01,9.99418713e-01
755,3,752,1.40000000e+00,-9.82778398e-01,9.99395461e-01
1003,3,1000,1.40000000e+00,-9.83770461e-01,9.99627976e-01
10,10,0,1.40000000e+00,-9.83630952e-01,1
20,10,10,1.40000000e+00,-9.83661954e-01,9.99639602e-01
267,10,257,1.40000000e+00,-9.83646453e-01,9.99627976e-01
515,10,505,1.40000000e+00,-9.83661954e-01,9.99604725e-01
762,10,752,1.40000000e+00,-9.82855903e-01,9.99453590e-01
1010,10,1000,1.40000000e+00,-9.82840402e-01,9.99441964e-01
31,31,0,1.40000000e+00,-9.83026414e-01,1
41,31,10,1.40000000e+00,-9.82886905e-01,9.99348958e-01
288,31,257,1.40000000e+00,-9.83537946e-01,9.99407087e-01
536,31,505,1.40000000e+00,-9.82018849e-01,9.99116443e-01
783,31,752,1.40000000e+00,-9.83661954e-01,9.99523344e-01
1031,31,1000,1.40000000e+00,-9.83863467e-01,9.99593099e-01
100,100,0,1.40000000e+00,-9.83522445e-01,1
110,100,10,1.40000000e+00,-9.80856275e-01,9.98849051e-01
357,100,257,1.40000000e+00,-9.82747396e-01,9.99360584e-01
605,100,505,1.40000000e+00,-9.83739459e-01,9.99616350e-01
852,100,752,1.40000000e+00,-9.83801463e-01,9.99639602e-01
1100,100,1000,1.40000000e+00,-9.83847966e-01,9.99662853e-01
1,1,0,1.50000000e+00,-9.88777282e-01,1
11,1,10,1.50000000e+00,-9.88653274e-01,9.98174758e-01
258,1,257,1.50000000e+00,-9.90776910e-01,9.98732794e-01
506,1,505,1.50000000e+00,-9.91551959e-01,9.98895554e-01
753,1,752,1.50000000e+00,-9.87630208e-01,9.97895740e-01
1001,1,1000,1.50000000e+00,-9.91985987e-01,9.99069940e-01
3,3,0,1.50000000e+00,-9.90714906e-01,1
13,3,10,1.50000000e+00,-9.89877852e-01,9.99000186e-01
260,3,257,1.50000000e+00,-9.90590898e-01,9.99128069e-01
508,3,505,1.50000000e+00,-9.91396949e-01,9.99325707e-01
755,3,752,1.50000000e+00,-9.90947421e-01,9.99290830e-01
1003,3,1000,1.50000000e+00,-9.91629464e-01,9.99407087e-01
10,10,0,1.50000000e+00,-9.90776910e-01,1
20,10,10,1.50000000e+00,-9.90714906e-01,9.99232701e-01
267,10,257,1.50000000e+00,-9.90094866e-01,9.99128069e-01
515,10,505,1.50000000e+00,-9.90792411e-01,9.99267578e-01
762,10,752,1.50000000e+00,-9.88947793e-01,9.98814174e-01
1010,10,1000,1.50000000e+00,-9.91799975e-01,9.99511719e-01
31,31,0,1.50000000e+00,-9.90730407e-01,1
41,31,10,1.50000000e+00,-9.89924355e-01,9.99011812e-01
288,31,257,1.50000000e+00,-9.87490699e-01,9.98302641e-01
536,31,505,1.50000000e+00,-9.91722470e-01,9.99441964e-01
783,31,752,1.50000000e+00,-9.90621900e-01,9.99151321e-01
1031,31,1000,1.50000000e+00,-9.89691840e-01,9.98930432e-01
100,100,0,1.50000000e+00,-9.91489955e-01,1
110,100,10,1.50000000e+00,-9.87754216e-01,9.98639788e-01
357,100,257,1.50000000e+00,-9.90714906e-01,9.99395461e-01
605,100,505,1.50000000e+00,-9.90947421e-01,9.99476842e-01
852,100,752,1.50000000e+00,-9.90048363e-01,9.99116443e-01
1100,100,1000,1.50000000e+00,-9.91784474e-01,9.99674479e-01
1,1,0,1.60000000e+00,-9.95690724e-01,1
11,1,10,1.60000000e+00,-9.92978051e-01,9.99069940e-01
258,1,257,1.60000000e+00,-9.91210938e-01,9.98500279e-01
506,1,505,1.60000000e+00,-9.95799231e-01,9.99744234e-01
753,1,752,1.60000000e+00,-9.94931176e-01,9.99546596e-01
1001,1,1000,1.60000000e+00,-9.92885045e-01,9.99035063e-01
3,3,0,1.60000000e+00,-9.92823041e-01,1
13,3,10,1.60000000e+00,-9.94791667e-01,9.98802548e-01
260,3,257,1.60000000e+00,-9.93675595e-01,9.98465402e-01
508,3,505,1.60000000e+00,-9.94745164e-01,9.98779297e-01
755,3,752,1.60000000e+00,-9.95659722e-01,9.99000186e-01
1003,3,1000,1.60000000e+00,-9.92869544e-01,9.98291016e-01
10,10,0,1.60000000e+00,-9.93644593e-01,1
20,10,10,1.60000000e+00,-9.95675223e-01,9.99139695e-01
267,10,257,1.60000000e+00,-9.94698661e-01,9.98883929e-01
515,10,505,1.60000000e+00,-9.94714162e-01,9.98895554e-01
762,10,752,1.60000000e+00,-9.93892609e-01,9.98709542e-01
1010,10,1000,1.60000000e+00,-9.95721726e-01,9.99151321e-01
31,31,0,1.60000000e+00,-9.92730035e-01,1
41,31,10,1.60000000e+00,-9.91753472e-01,9.97965495e-01
288,31,257,1.60000000e+00,-9.94931176e-01,9.98790923e-01
536,31,505,1.60000000e+00,-9.92885045e-01,9.98267764e-01
783,31,752,1.60000000e+00,-9.89071801e-01,9.97314453e-01
1031,31,1000,1.60000000e+00,-9.91970486e-01,9.98070126e-01
100,100,0,1.60000000e+00,-9.93923611e-01,1
110,100,10,1.60000000e+00,-9.93985615e-01,9.98907180e-01
357,100,257,1.60000000e+00,-9.94729663e-01,9.99069940e-01
605,100,505,1.60000000e+00,-9.93923611e-01,9.98883929e-01
852,100,752,1.60000000e+00,-9.95737227e-01,9.99348958e-01
1100,100,1000,1.60000000e+00,-9.90792411e-01,9.98058501e-01
1,1,0,1.70000000e+00,-9.87707713e-01,1
11,1,10,1.70000000e+00,-9.88203745e-01,9.97488839e-01
258,1,257,1.70000000e+00,-9.90389385e-01,9.98267764e-01
506,1,505,1.70000000e+00,-9.89552331e-01,9.98070126e-01
753,1,752,1.70000000e+00,-9.88172743e-01,9.97616722e-01
1001,1,1000,1.70000000e+00,-9.88343254e-01,9.97709728e-01
3,3,0,1.70000000e+00,-9.90435888e-01,1
13,3,10,1.70000000e+00,-9.88420759e-01,9.98325893e-01
260,3,257,1.70000000e+00,-9.84824529e-01,9.97512091e-01
508,3,505,1.70000000e+00,-9.90079365e-01,9.98756045e-01
755,3,752,1.70000000e+00,-9.85568576e-01,9.97709728e-01
1003,3,1000,1.70000000e+00,-9.84219990e-01,9.97209821e-01
10,10,0,1.70000000e+00,-9.86405630e-01,1
20,10,10,1.70000000e+00,-9.88482763e-01,9.97163318e-01
267,10,257,1.70000000e+00,-9.89040799e-01,9.97174944e-01
515,10,505,1.70000000e+00,-9.87583705e-01,9.96965681e-01
762,10,752,1.70000000e+00,-9.90451389e-01,9.97698103e-01
1010,10,1000,1.70000000e+00,-9.90420387e-01,9.97674851e-01
31,31,0,1.70000000e+00,-9.89381820e-01,1
41,31,10,1.70000000e+00,-9.87258185e-01,9.97802734e-01
288,31,257,1.70000000e+00,-9.89474826e-01,9.98488653e-01
536,31,505,1.70000000e+00,-9.87335689e-01,9.97872489e-01
783,31,752,1.70000000e+00,-9.88498264e-01,9.98209635e-01
1031,31,1000,1.70000000e+00,-9.88668775e-01,9.98279390e-01
100,100,0,1.70000000e+00,-9.89412822e-01,1
110,100,10,1.70000000e+00,-9.86669147e-01,9.97756231e-01
357,100,257,1.70000000e+00,-9.88389757e-01,9.98163132e-01
605,100,505,1.70000000e+00,-9.87475198e-01,9.97895740e-01
852,100,752,1.70000000e+00,-9.86266121e-01,9.97628348e-01
1100,100,1000,1.70000000e+00,-9.87924727e-01,9.97977121e-01
1,1,0,1.80000000e+00,-9.90172371e-01,1
11,1,10,1.80000000e+00,-9.90637401e-01,9.96907552e-01
258,1,257,1.80000000e+00,-9.90094866e-01,9.96570406e-01
506,1,505,1.80000000e+00,-9.90714906e-01,9.96942429e-01
753,1,752,1.80000000e+00,-9.91691468e-01,9.97163318e-01
1001,1,1000,1.80000000e+00,-9.91799975e-01,9.97221447e-01
3,3,0,1.80000000e+00,-9.87490699e-01,1
13,3,10,1.80000000e+00,-9.91768973e-01,9.96442522e-01
260,3,257,1.80000000e+00,-9.92900546e-01,9.96733166e-01
508,3,505,1.80000000e+00,-9.89118304e-01,9.95651972e-01
755,3,752,1.80000000e+00,-9.92435516e-01,9.96523903e-01
1003,3,1000,1.80000000e+00,-9.89846850e-01,9.95954241e-01
10,10,0,1.80000000e+00,-9.91567460e-01,1
20,10,10,1.80000000e+00,-9.89722842e-01,9.97081938e-01
267,10,257,1.80000000e+00,-9.88017733e-01,9.96582031e-01
515,10,505,1.80000000e+00,-9.90451389e-01,9.97163318e-01
762,10,752,1.80000000e+00,-9.91458953e-01,9.97523717e-01
1010,10,1000,1.80000000e+00,-9.89877852e-01,9.97209821e-01
31,31,0,1.80000000e+00,-9.87878224e-01,1
41,31,10,1.80000000e+00,-9.88885789e-01,9.96012370e-01
288,31,257,1.80000000e+00,-9.87831721e-01,9.95663597e-01
536,31,505,1.80000000e+00,-9.88668775e-01,9.95710100e-01
783,31,752,1.80000000e+00,-9.87909226e-01,9.95779855e-01
1031,31,1000,1.80000000e+00,-9.87754216e-01,9.95663597e-01
100,100,0,1.80000000e+00,-9.92776538e-01,1
110,100,10,1.80000000e+00,-9.88668775e-01,9.97198196e-01
357,100,257,1.80000000e+00,-9.88637773e-01,9.97151693e-01
605,100,505,1.80000000e+00,-9.89660838e-01,9.97419085e-01
852,100,752,1.80000000e+00,-9.89970858e-01,9.97337705e-01
1100,100,1000,1.80000000e+00,-9.93970114e-01,9.98558408e-01
1,1,0,1.90000000e+00,-9.90172371e-01,1
11,1,10,1.90000000e+00,-9.85708085e-01,9.95593843e-01
258,1,257,1.90000000e+00,-9.79337178e-01,9.93710472e-01
506,1,505,1.90000000e+00,-9.86963666e-01,9.95791481e-01
753,1,752,1.90000000e+00,-9.82018849e-01,9.94838170e-01
1001,1,1000,1.90000000e+00,-9.81491815e-01,9.94128999e-01
3,3,0,1.90000000e+00,-9.83971974e-01,1
13,3,10,1.90000000e+00,-9.89226811e-01,9.94814918e-01
260,3,257,1.90000000e+00,-9.90621900e-01,9.95268322e-01
508,3,505,1.90000000e+00,-9.85475570e-01,9.93896484e-01
755,3,752,1.90000000e+00,-9.85568576e-01,9.93954613e-01
1003,3,1000,1.90000000e+00,-9.85026042e-01,9.93559338e-01
10,10,0,1.90000000e+00,-9.89412822e-01,1
20,10,10,1.90000000e+00,-9.89335317e-01,9.96140253e-01
267,10,257,1.90000000e+00,-9.85599578e-01,9.95303199e-01
515,10,505,1.90000000e+00,-9.83847966e-01,9.94873047e-01
762,10,752,1.90000000e+00,-9.87599206e-01,9.95791481e-01
1010,10,1000,1.90000000e+00,-9.91195437e-01,9.96663411e-01
31,31,0,1.90000000e+00,-9.84607515e-01,1
41,31,10,1.90000000e+00,-9.90606399e-01,9.95489211e-01
288,31,257,1.90000000e+00,-9.86452133e-01,9.94419643e-01
536,31,505,1.90000000e+00,-9.84576513e-01,9.93919736e-01
783,31,752,1.90000000e+00,-9.88296751e-01,9.95338077e-01
1031,31,1000,1.90000000e+00,-9.87940228e-01,9.94721912e-01
100,100,0,1.90000000e+00,-9.90280878e-01,1
110,100,10,1.90000000e+00,-9.89443824e-01,9.96547154e-01
357,100,257,1.90000000e+00,-9.85661582e-01,9.95651972e-01
605,100,505,1.90000000e+00,-9.85010541e-01,9.95361328e-01
852,100,752,1.90000000e+00,-9.87335689e-01,9.96035621e-01
1100,100,1000,1.90000000e+00,-9.87537202e-01,9.96082124e-01
1,1,0,2.00000000e+00,-9.79848710e-01,1
11,1,10,2.00000000e+00,-9.79430184e-01,9.92640904e-01
258,1,257,2.00000000e+00,-9.84824529e-01,9.93745350e-01
506,1,505,2.00000000e+00,-9.76717510e-01,9.92094494e-01
753,1,752,2.00000000e+00,-9.77260045e-01,9.92257254e-01
1001,1,1000,2.00000000e+00,-9.77895585e-01,9.92420015e-01
3,3,0,2.00000000e+00,-9.79895213e-01,1
13,3,10,2.00000000e+00,-9.74934896e-01,9.91443452e-01
260,3,257,2.00000000e+00,-9.82375372e-01,9.93315197e-01
508,3,505,2.00000000e+00,-9.81987847e-01,9.93675595e-01
755,3,752,2.00000000e+00,-9.83909970e-01,9.93919736e-01
1003,3,1000,2.00000000e+00,-9.82080853e-01,9.93570964e-01
10,10,0,2.00000000e+00,-9.78314112e-01,1
20,10,10,2.00000000e+00,-9.71106151e-01,9.89885603e-01
267,10,257,2.00000000e+00,-9.79244172e-01,9.91989862e-01
515,10,505,2.00000000e+00,-9.77105035e-01,9.91571336e-01
762,10,752,2.00000000e+00,-9.81522817e-01,9.92919922e-01
1010,10,1000,2.00000000e+00,-9.77833581e-01,9.91815476e-01
31,31,0,2.00000000e+00,-9.83661954e-01,1
41,31,10,2.00000000e+00,-9.71199157e-01,9.91303943e-01
288,31,257,2.00000000e+00,-9.77399554e-01,9.92803664e-01
536,31,505,2.00000000e+00,-9.80453249e-01,9.93908110e-01
783,31,752,2.00000000e+00,-9.82902406e-01,9.94431269e-01
1031,31,1000,2.00000000e+00,-9.80809772e-01,9.93826730e-01
100,100,0,2.00000000e+00,-9.81879340e-01,1
110,100,10,2.00000000e+00,-9.76112971e-01,9.92454892e-01
357,100,257,2.00000000e+00,-9.82127356e-01,9.94268508e-01
605,100,505,2.00000000e+00,-9.84778026e-01,9.94919550e-01
852,100,752,2.00000000e+00,-9.85801091e-01,9.94652158e-01
1100,100,1000,2.00000000e+00,-9.80065724e-01,9.93419829e-01
1,1,0,2.10000000e+00,-9.76143973e-01,1
11,1,10,2.10000000e+00,-9.76500496e-01,9.89932106e-01
258,1,257,2.10000000e+00,-9.87103175e-01,9.91920108e-01
506,1,505,2.10000000e+00,-9.83382937e-01,9.91466704e-01
753,1,752,2.10000000e+00,-9.70517113e-01,9.87595331e-01
1001,1,1000,2.10000000e+00,-9.85940600e-01,9.91687593e-01
3,3,0,2.10000000e+00,-9.80809772e-01,1
13,3,10,2.10000000e+00,-9.80344742e-01,9.91350446e-01
260,3,257,2.10000000e+00,-9.82049851e-01,9.91920108e-01
508,3,505,2.10000000e+00,-9.80995784e-01,9.91792225e-01
755,3,752,2.10000000e+00,-9.81615823e-01,9.91768973e-01
1003,3,1000,2.10000000e+00,-9.83119420e-01,9.92408389e-01
10,10,0,2.10000000e+00,-9.80964782e-01,1
20,10,10,2.10000000e+00,-9.85909598e-01,9.93059431e-01
267,10,257,2.10000000e+00,-9.72873264e-01,9.89548456e-01
515,10,505,2.10000000e+00,-9.81941344e-01,9.91792225e-01
762,10,752,2.10000000e+00,-9.78717138e-01,9.91106306e-01
1010,10,1000,2.10000000e+00,-9.78872148e-01,9.91117932e-01
31,31,0,2.10000000e+00,-9.87428695e-01,1
41,31,10,2.10000000e+00,-9.84530010e-01,9.93942987e-01
288,31,257,2.10000000e+00,-9.88668775e-01,9.94861421e-01
536,31,505,2.10000000e+00,-9.75849454e-01,9.91792225e-01
783,31,752,2.10000000e+00,-9.81569320e-01,9.93257068e-01
1031,31,1000,2.10000000e+00,-9.78407118e-01,9.92443266e-01
100,100,0,2.10000000e+00,-9.79027158e-01,1
110,100,10,2.10000000e+00,-9.77740575e-01,9.90199498e-01
357,100,257,2.10000000e+00,-9.83444940e-01,9.91571336e-01
605,100,505,2.10000000e+00,-9.84793527e-01,9.92024740e-01
852,100,752,2.10000000e+00,-9.76903522e-01,9.89862351e-01
1100,100,1000,2.10000000e+00,-9.84250992e-01,9.92036365e-01
1,1,0,2.20000000e+00,-9.77322049e-01,1
11,1,10,2.20000000e+00,-9.80778770e-01,9.90246001e-01
258,1,257,2.20000000e+00,-9.75492932e-01,9.86804781e-01
506,1,505,2.20000000e+00,-9.76671007e-01,9.86421131e-01
753,1,752,2.20000000e+00,-9.78221106e-01,9.87153553e-01
1001,1,1000,2.20000000e+00,-9.74454365e-01,9.86456008e-01
3,3,0,2.20000000e+00,-9.77647569e-01,1
13,3,10,2.20000000e+00,-9.76174975e-01,9.89432199e-01
260,3,257,2.20000000e+00,-9.76205977e-01,9.87211682e-01
508,3,505,2.20000000e+00,-9.69881572e-01,9.85026042e-01
755,3,752,2.20000000e+00,-9.76128472e-01,9.86525763e-01
1003,3,1000,2.20000000e+00,-9.72423735e-01,9.86095610e-01
10,10,0,2.20000000e+00,-9.76050967e-01,1
20,10,10,2.20000000e+00,-9.73059276e-01,9.87688337e-01
267,10,257,2.20000000e+00,-9.69230531e-01,9.84433129e-01
515,10,505,2.20000000e+00,-9.80236235e-01,9.87909226e-01
762,10,752,2.20000000e+00,-9.77074033e-01,9.87281436e-01
1010,10,1000,2.20000000e+00,-9.70718626e-01,9.84979539e-01
31,31,0,2.20000000e+00,-9.75461930e-01,1
41,31,10,2.20000000e+00,-9.71927703e-01,9.86200242e-01
288,31,257,2.20000000e+00,-9.70393105e-01,9.84967913e-01
536,31,505,2.20000000e+00,-9.78980655e-01,9.88269624e-01
783,31,752,2.20000000e+00,-9.76019965e-01,9.86502511e-01
1031,31,1000,2.20000000e+00,-9.82204861e-01,9.88257999e-01
100,100,0,2.20000000e+00,-9.82530382e-01,1
110,100,10,2.20000000e+00,-9.71137153e-01,9.88978795e-01
357,100,257,2.20000000e+00,-9.72392733e-01,9.89188058e-01
605,100,505,2.20000000e+00,-9.80143229e-01,9.91896856e-01
852,100,752,2.20000000e+00,-9.76888021e-01,9.90827288e-01
1100,100,1000,2.20000000e+00,-9.73849826e-01,9.87444196e-01
1,1,0,2.30000000e+00,-9.83072917e-01,1
11,1,10,2.30000000e+00,-9.83398438e-01,9.91455078e-01
258,1,257,2.30000000e+00,-9.75911458e-01,9.89501953e-01
506,1,505,2.30000000e+00,-9.74283854e-01,9.89013672e-01
753,1,752,2.30000000e+00,-9.80143229e-01,9.90478516e-01
1001,1,1000,2.30000000e+00,-9.81445312e-01,9.90722656e-01
3,3,0,2.30000000e+00,-9.78841146e-01,1
13,3,10,2.30000000e+00,-9.64518229e-01,9.85351562e-01
260,3,257,2.30000000e+00,-9.75911458e-01,9.88525391e-01
508,3,505,2.30000000e+00,-9.77864583e-01,9.89013672e-01
755,3,752,2.30000000e+00,-9.76562500e-01,9.88525391e-01
1003,3,1000,2.30000000e+00,-9.72330729e-01,9.88037109e-01
10,10,0,2.30000000e+00,-9.75585938e-01,1
20,10,10,2.30000000e+00,-9.70703125e-01,9.86083984e-01
267,10,257,2.30000000e+00,-9.77864583e-01,9.88037109e-01
515,10,505,2.30000000e+00,-9.78841146e-01,9.88281250e-01
762,10,752,2.30000000e+00,-9.75585938e-01,9.87304688e-01
1010,10,1000,2.30000000e+00,-9.84375000e-01,9.89746094e-01
31,31,0,2.30000000e+00,-9.72330729e-01,1
41,31,10,2.30000000e+00,-9.72005208e-01,9.85595703e-01
288,31,257,2.30000000e+00,-9.83723958e-01,9.88769531e-01
536,31,505,2.30000000e+00,-9.79492188e-01,9.87792969e-01
783,31,752,2.30000000e+00,-9.82096354e-01,9.87792969e-01
1031,31,1000,2.30000000e+00,-9.78190104e-01,9.87304688e-01
100,100,0,2.30000000e+00,-9.82747396e-01,1
110,100,10,2.30000000e+00,-9.74609375e-01,9.89013672e-01
357,100,257,2.30000000e+00,-9.73958333e-01,9.88769531e-01
605,100,505,2.30000000e+00,-9.71028646e-01,9.88281250e-01
852,100,752,2.30000000e+00,-9.65820312e-01,9.86816406e-01
1100,100,1000,2.30000000e+00,-9.64843750e-01,9.86328125e-01
1,1,0,2.40000000e+00,-9.66796875e-01,1
11,1,10,2.40000000e+00,-9.62890625e-01,9.81933594e-01
258,1,257,2.40000000e+00,-9.69726562e-01,9.84130859e-01
506,1,505,2.40000000e+00,-9.78841146e-01,9.85839844e-01
753,1,752,2.40000000e+00,-9.73958333e-01,9.84863281e-01
1001,1,1000,2.40000000e+00,-9.65169271e-01,9.82421875e-01
3,3,0,2.40000000e+00,-9.79166667e-01,1
13,3,10,2.40000000e+00,-9.64192708e-01,9.85595703e-01
260,3,257,2.40000000e+00,-9.68424479e-01,9.86328125e-01
508,3,505,2.40000000e+00,-9.64518229e-01,9.85107422e-01
755,3,752,2.40000000e+00,-9.59635417e-01,9.83642578e-01
1003,3,1000,2.40000000e+00,-9.72005208e-01,9.87060547e-01
10,10,0,2.40000000e+00,-9.65494792e-01,1
20,10,10,2.40000000e+00,-9.80468750e-01,9.85839844e-01
267,10,257,2.40000000e+00,-9.63867188e-01,9.82177734e-01
515,10,505,2.40000000e+00,-9.68750000e-01,9.83154297e-01
762,10,752,2.40000000e+00,-9.67773438e-01,9.82666016e-01
1010,10,1000,2.40000000e+00,-9.63541667e-01,9.81445312e-01
31,31,0,2.40000000e+00,-9.70703125e-01,1
41,31,10,2.40000000e+00,-9.67447917e-01,9.83886719e-01
288,31,257,2.40000000e+00,-9.59309896e-01,9.81933594e-01
536,31,505,2.40000000e+00,-9.72981771e-01,9.85351562e-01
783,31,752,2.40000000e+00,-9.71028646e-01,9.84863281e-01
1031,31,1000,2.40000000e+00,-9.67447917e-01,9.83886719e-01
100,100,0,2.40000000e+00,-9.61914062e-01,1
110,100,10,2.40000000e+00,-9.63867188e-01,9.80468750e-01
357,100,257,2.40000000e+00,-9.69075521e-01,9.81933594e-01
605,100,505,2.40000000e+00,-9.59635417e-01,9.79980469e-01
852,100,752,2.40000000e+00,-9.66796875e-01,9.81445312e-01
1100,100,1000,2.40000000e+00,-9.73632812e-01,9.83154297e-01
1,1,0,2.50000000e+00,-9.58984375e-01,1
11,1,10,2.50000000e+00,-9.65820312e-01,9.80712891e-01
258,1,257,2.50000000e+00,-9.53776042e-01,9.77294922e-01
506,1,505,2.50000000e+00,-9.44661458e-01,9.74609375e-01
753,1,752,2.50000000e+00,-9.67773438e-01,9.81445312e-01
1001,1,1000,2.50000000e+00,-9.45638021e-01,9.76806641e-01
3,3,0,2.50000000e+00,-9.66471354e-01,1
13,3,10,2.50000000e+00,-9.64518229e-01,9.81689453e-01
260,3,257,2.50000000e+00,-9.59309896e-01,9.80712891e-01
508,3,505,2.50000000e+00,-9.69726562e-01,9.83398438e-01
755,3,752,2.50000000e+00,-9.50846354e-01,9.78759766e-01
1003,3,1000,2.50000000e+00,-9.62890625e-01,9.81445312e-01
10,10,0,2.50000000e+00,-9.66471354e-01,1
20,10,10,2.50000000e+00,-9.55078125e-01,9.80224609e-01
267,10,257,2.50000000e+00,-9.58007812e-01,9.80224609e-01
515,10,505,2.50000000e+00,-9.59960938e-01,9.80712891e-01
762,10,752,2.50000000e+00,-9.51497396e-01,9.79492188e-01
1010,10,1000,2.50000000e+00,-9.53776042e-01,9.79736328e-01
31,31,0,2.50000000e+00,-9.68424479e-01,1
41,31,10,2.50000000e+00,-9.58333333e-01,9.81689453e-01
288,31,257,2.50000000e+00,-9.56380208e-01,9.80224609e-01
536,31,505,2.50000000e+00,-9.53125000e-01,9.78515625e-01
783,31,752,2.50000000e+00,-9.71679688e-01,9.84130859e-01
1031,31,1000,2.50000000e+00,-9.60937500e-01,9.81933594e-01
100,100,0,2.50000000e+00,-9.67773438e-01,1
110,100,10,2.50000000e+00,-9.58658854e-01,9.80957031e-01
357,100,257,2.50000000e+00,-9.56380208e-01,9.81933594e-01
605,100,505,2.50000000e+00,-9.69075521e-01,9.84863281e-01
852,100,752,2.50000000e+00,-9.53776042e-01,9.80224609e-01
1100,100,1000,2.50000000e+00,-9.57031250e-01,9.80712891e-01
1,1,0,2.60000000e+00,-9.48955233e-01,1
11,1,10,2.60000000e+00,-9.50350322e-01,9.72772507e-01
258,1,257,2.60000000e+00,-9.55729167e-01,9.64122954e-01
506,1,505,2.60000000e+00,-9.46614583e-01,9.61879185e-01
753,1,752,2.60000000e+00,-9.52473958e-01,9.63099888e-01
1001,1,1000,2.60000000e+00,-9.45638021e-01,9.62286086e-01
3,3,0,2.60000000e+00,-9.48645213e-01,1
13,3,10,2.60000000e+00,-9.42181300e-01,9.71830822e-01
260,3,257,2.60000000e+00,-9.41406250e-01,9.59519159e-01
508,3,505,2.60000000e+00,-9.51497396e-01,9.63530041e-01
755,3,752,2.60000000e+00,-9.52473958e-01,9.62913876e-01
1003,3,1000,2.60000000e+00,-9.51822917e-01,9.62088449e-01
10,10,0,2.60000000e+00,-9.47017609e-01,1
20,10,10,2.60000000e+00,-9.40181672e-01,9.70458984e-01
267,10,257,2.60000000e+00,-9.43684896e-01,9.60472470e-01
515,10,505,2.60000000e+00,-9.55403646e-01,9.63262649e-01
762,10,752,2.60000000e+00,-9.54752604e-01,9.62472098e-01
1010,10,1000,2.60000000e+00,-9.45963542e-01,9.59937686e-01
31,31,0,2.60000000e+00,-9.53373016e-01,1
41,31,10,2.60000000e+00,-9.45963542e-01,9.72191220e-01
288,31,257,2.60000000e+00,-9.34244792e-01,9.56868490e-01
536,31,505,2.60000000e+00,-9.45312500e-01,9.60170201e-01
783,31,752,2.60000000e+00,-9.56705729e-01,9.63099888e-01
1031,31,1000,2.60000000e+00,-9.50520833e-01,9.61530413e-01
100,100,0,2.60000000e+00,-9.31253100e-01,1
110,100,10,2.60000000e+00,-9.32617188e-01,9.63262649e-01
357,100,257,2.60000000e+00,-9.62565104e-01,9.59716797e-01
605,100,505,2.60000000e+00,-9.50846354e-01,9.57054501e-01
852,100,752,2.60000000e+00,-9.44010417e-01,9.55287388e-01
1100,100,1000,2.60000000e+00,-9.40104167e-01,9.53659784e-01
1,1,0,2.70000000e+00,-9.27083333e-01,1
11,1,10,2.70000000e+00,-9.40429688e-01,9.64599609e-01
